Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order,q_removal
1,4.39,2.65,87,2.48,34.2,0.709,0,49,7,11,361,0.10828892875742331
2,4.12,2.99,97,4.1,35.7,0.651,63,280,1,15,73,0.1
3,8.17,4.68,92,1.72,36.0,0.537,18,23,40,24,374,0.11297816653116287
4,4.5,1.41,72,4.37,22.7,1.869,88,479,25,36,155,0.1
5,4.46,9.21,81,3.32,30.1,1.2,85,369,35,47,104,0.11405493868323177
6,4.03,3.34,89,0.74,27.7,1.941,68,82,47,46,394,0.1
7,6.64,9.09,70,4.31,35.2,1.477,60,360,6,40,377,0.3246344139138034
8,3.11,4.61,10,3.22,28.9,1.12,8,340,68,46,124,0.1
9,7.88,4.86,53,2.26,20.2,1.073,45,442,18,13,68,0.11298754979401394
10,5.22,9.98,99,1.68,31.2,1.77,40,478,91,13,450,0.1556372330341669
11,7.52,9.74,35,3.12,23.0,1.142,7,177,92,49,9,0.1845282857635862
12,4.21,8.74,20,3.0,36.3,0.638,95,491,97,44,194,0.1
13,5.43,5.65,78,1.17,23.4,0.802,58,281,50,9,406,0.1571271288958997
14,3.75,1.94,32,2.38,31.7,1.226,61,481,66,1,84,0.1
15,3.01,2.05,65,4.52,37.1,0.604,17,229,2,26,371,0.1
16,6.39,2.28,45,2.9,30.4,1.566,45,387,72,42,388,0.1
17,6.74,2.15,36,1.71,21.4,1.114,76,111,34,29,495,0.1
18,3.03,3.53,23,4.74,38.8,1.013,46,309,62,2,30,0.1
19,8.57,2.75,105,3.61,28.2,1.165,93,215,72,26,316,0.1
20,6.86,3.32,60,4.29,37.6,1.276,88,151,42,43,408,0.16681018945695295
21,7.9,9.8,37,2.45,31.9,0.679,75,133,24,21,490,0.2549819849530764
22,7.07,5.42,91,1.78,26.2,0.835,44,356,56,48,491,0.11902699441173131
23,3.15,4.75,74,3.79,23.1,1.055,38,146,25,32,280,0.1
24,3.14,9.43,39,4.43,22.2,1.605,93,383,57,17,356,0.1
25,4.75,1.2,21,1.16,29.1,1.319,56,77,45,7,76,0.1
26,3.67,3.28,108,1.46,24.2,1.175,49,207,23,8,461,0.1
27,3.32,3.65,95,2.8,33.6,0.533,65,9,54,45,497,0.1
28,4.88,3.64,38,4.08,27.2,0.913,91,228,17,5,211,0.11686613945608008
29,6.72,5.33,113,3.31,32.1,0.844,64,361,26,26,101,0.3279473597619458
30,8.54,6.69,69,4.5,36.9,0.711,97,302,78,46,334,0.11492255539364077
31,7.61,7.52,74,0.51,35.1,1.31,94,437,7,41,475,0.12871735303877652
32,5.54,9.15,29,1.09,38.1,1.387,1,60,39,16,336,0.2065867886794246
33,6.01,2.44,68,1.15,22.4,0.546,40,423,40,27,440,0.1
34,3.71,1.99,89,4.04,24.4,1.326,63,483,40,20,173,0.1
35,3.08,4.01,94,1.62,20.3,1.453,84,146,31,28,2,0.1
36,7.19,9.82,40,3.56,32.8,1.314,25,30,45,6,333,0.4919824262985179
37,4.32,6.7,17,1.21,35.9,1.29,96,392,26,21,409,0.1
38,7.79,5.89,92,3.86,24.8,1.525,75,155,18,34,70,0.12865267124590304
39,4.13,8.83,83,4.4,26.1,0.668,12,356,83,36,209,0.1
40,5.63,3.27,14,3.5,24.1,1.092,23,485,100,24,63,0.1
41,8.48,8.24,104,1.89,38.4,0.848,4,29,19,8,384,0.1595900762166923
42,7.52,9.72,43,4.84,26.6,1.171,4,341,11,9,93,0.36724903125193836
43,8.63,3.61,118,0.88,31.6,1.581,98,158,33,15,485,0.1
44,7.75,1.54,30,4.16,23.9,1.648,19,265,53,46,185,0.1
45,7.73,9.96,55,4.63,38.1,1.792,70,322,63,22,33,0.25952781582281625
46,5.05,6.94,19,3.98,26.8,1.732,93,315,61,29,77,0.10848153717180638
47,6.86,8.31,57,0.87,32.9,1.914,72,213,91,5,0,0.2281382227984465
48,5.11,8.92,120,4.42,22.8,0.514,62,62,3,41,11,0.23010694607827636
49,3.68,6.0,118,4.65,25.9,1.45,67,37,27,7,415,0.1
50,3.76,9.68,45,1.44,27.7,1.945,56,358,47,49,22,0.1
51,7.16,9.57,91,4.26,22.0,1.704,33,438,80,49,72,0.1888341441282394
52,3.51,1.44,25,1.04,23.2,0.895,14,306,19,14,182,0.1
53,7.62,5.91,90,0.97,21.2,1.873,99,375,88,36,131,0.1
54,7.01,7.31,91,4.9,39.2,1.243,32,483,18,48,410,0.3030810528460597
55,7.22,5.2,119,2.97,29.8,1.084,81,275,48,40,193,0.19317652734190277
56,6.27,7.82,119,2.94,29.3,0.565,81,230,84,16,55,0.5170172825466124
57,5.91,4.58,110,0.55,26.0,1.168,41,401,97,31,148,0.1081603880964655
58,7.0,8.18,49,3.26,22.9,1.659,96,102,58,24,18,0.2478898015715643
59,5.14,2.81,80,0.59,20.8,0.749,71,54,80,39,204,0.1
60,5.94,7.26,47,2.56,31.9,1.27,85,190,78,42,78,0.2269399118752587
61,6.46,9.39,111,3.39,20.2,1.065,34,493,34,5,494,0.47496864526785537
62,4.53,4.4,49,0.81,32.5,1.668,76,396,40,4,262,0.1
63,7.67,1.68,85,0.94,21.2,1.11,86,368,35,49,323,0.1
64,4.63,5.11,115,4.05,28.8,0.86,8,495,25,28,483,0.12297846766272781
65,4.34,3.47,64,1.18,33.1,1.046,7,350,33,44,79,0.1
66,7.75,2.88,104,4.46,36.1,1.305,34,271,32,14,39,0.15460509008968265
67,3.81,1.01,48,3.69,34.0,1.182,98,206,56,33,451,0.1
68,8.36,9.25,78,3.62,38.6,1.96,48,70,9,3,46,0.2153578871539347
69,6.04,7.42,74,3.73,36.9,1.561,1,211,22,34,238,0.30661393140052917
70,6.93,5.29,25,1.41,20.6,1.988,99,73,75,45,391,0.1
71,6.53,6.95,23,1.53,27.6,1.596,57,221,30,30,352,0.1343354903276534
72,6.82,6.39,46,2.87,37.4,1.101,19,208,89,19,341,0.37100744200148306
73,8.38,7.49,60,4.19,33.9,0.623,4,144,65,31,277,0.17079947516395239
74,8.93,7.67,70,4.1,25.2,0.804,19,170,49,1,290,0.10575784941620676
75,8.99,8.46,101,2.07,23.0,0.814,61,267,26,35,317,0.1
76,3.87,5.09,37,1.64,28.3,0.634,33,91,96,27,304,0.1
77,6.33,6.86,33,2.78,31.5,1.97,66,292,99,25,268,0.2225138908910829
78,3.38,8.07,64,2.81,26.3,1.343,39,482,24,22,69,0.1
79,7.55,2.33,83,3.16,35.8,1.411,95,171,61,16,455,0.1133035034663269
80,4.59,2.48,93,4.56,22.0,1.53,13,5,22,30,465,0.1
81,4.18,4.34,12,2.09,26.6,1.49,9,217,74,37,154,0.1
82,5.87,6.45,115,2.66,36.6,0.827,89,14,90,25,82,0.34116549205160124
83,8.99,2.02,79,4.65,23.3,1.016,92,124,93,34,477,0.1
84,5.36,5.71,96,2.91,24.3,1.983,79,85,63,4,172,0.17023632325381474
85,7.57,7.23,20,1.85,34.4,0.973,34,385,88,17,321,0.17066208676781214
86,6.17,5.68,72,2.0,25.2,1.963,51,272,76,28,90,0.12036011058546159
87,4.97,3.77,80,3.3,30.5,1.664,70,5,52,19,180,0.1
88,5.61,7.19,50,2.73,34.1,0.55,42,172,17,2,414,0.48158546636570315
89,7.85,4.27,57,0.76,20.5,1.352,63,128,95,10,312,0.1
90,4.82,4.46,102,4.78,27.8,1.542,53,332,88,39,278,0.1
91,4.96,2.86,71,2.21,26.9,1.149,3,11,53,22,381,0.1
92,8.85,2.09,41,3.1,38.6,1.76,59,399,69,45,472,0.1
93,6.68,1.29,104,5.0,31.3,1.842,30,294,42,39,362,0.1
94,3.99,1.89,66,2.29,31.6,0.953,20,104,89,41,324,0.1
95,5.7,3.02,90,3.68,27.4,1.009,7,419,77,32,431,0.12789423591387222
96,5.45,5.77,106,4.44,28.9,1.754,89,224,67,15,347,0.2048212353967551
97,5.02,8.66,107,4.15,23.7,0.97,47,84,64,30,86,0.21016964947418337
98,5.89,3.11,116,3.21,24.9,1.374,1,408,86,13,75,0.14413127897313938
99,5.47,7.21,19,1.69,28.7,0.659,77,34,50,37,438,0.1312526940570471
100,6.08,2.14,59,1.83,39.0,0.799,85,367,95,9,15,0.13121019035478657
101,5.59,2.63,104,1.86,31.0,1.603,68,220,58,43,249,0.1
102,5.67,3.96,11,0.73,25.7,0.582,8,134,33,25,433,0.1
103,6.88,4.3,33,3.06,24.7,1.147,67,98,3,41,19,0.12721161959752295
104,7.46,1.85,71,1.25,37.9,1.65,48,41,75,27,322,0.1
105,7.34,3.67,108,0.7,33.3,1.384,66,226,13,24,332,0.10456465598650563
106,7.17,1.63,65,3.77,20.9,1.747,68,328,4,22,56,0.1
107,4.84,6.6,55,2.69,22.3,1.764,81,321,14,48,301,0.1
108,7.31,6.52,95,3.6,29.9,1.457,90,462,96,5,229,0.3169116219681129
109,6.61,7.89,67,3.46,32.7,1.021,75,450,78,18,331,0.43535239195851233
110,5.96,7.61,76,3.99,37.3,1.827,33,410,77,6,132,0.3943771694884795
111,4.38,6.88,64,4.8,21.8,1.917,20,194,36,11,137,0.1
112,4.95,9.02,19,1.99,21.3,1.301,32,151,8,36,423,0.1
113,7.29,2.52,103,1.79,22.3,1.428,93,256,22,3,335,0.1
114,4.74,6.73,112,3.74,35.4,0.776,95,212,41,47,25,0.14887714139804065
115,8.78,7.38,51,2.13,28.9,1.51,78,160,43,1,464,0.1
