Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order
1,4.39,2.65,87,2.48,34.2,0.709,0,49,7,11,361
2,4.12,2.99,97,4.1,35.7,0.651,63,280,1,15,73
3,8.17,4.68,92,1.72,36.0,0.537,18,23,40,24,374
4,4.5,1.41,72,4.37,22.7,1.869,88,479,25,36,155
5,4.46,9.21,81,3.32,30.1,1.2,85,369,35,47,104
6,4.03,3.34,89,0.74,27.7,1.941,68,82,47,46,394
7,6.64,9.09,70,4.31,35.2,1.477,60,360,6,40,377
8,3.11,4.61,10,3.22,28.9,1.12,8,340,68,46,124
9,7.88,4.86,53,2.26,20.2,1.073,45,442,18,13,68
10,5.22,9.98,99,1.68,31.2,1.77,40,478,91,13,450
11,7.52,9.74,35,3.12,23.0,1.142,7,177,92,49,9
12,4.21,8.74,20,3.0,36.3,0.638,95,491,97,44,194
13,5.43,5.65,78,1.17,23.4,0.802,58,281,50,9,406
14,3.75,1.94,32,2.38,31.7,1.226,61,481,66,1,84
15,3.01,2.05,65,4.52,37.1,0.604,17,229,2,26,371
16,6.39,2.28,45,2.9,30.4,1.566,45,387,72,42,388
17,6.74,2.15,36,1.71,21.4,1.114,76,111,34,29,495
18,3.03,3.53,23,4.74,38.8,1.013,46,309,62,2,30
19,8.57,2.75,105,3.61,28.2,1.165,93,215,72,26,316
20,6.86,3.32,60,4.29,37.6,1.276,88,151,42,43,408
21,7.9,9.8,37,2.45,31.9,0.679,75,133,24,21,490
22,7.07,5.42,91,1.78,26.2,0.835,44,356,56,48,491
23,3.15,4.75,74,3.79,23.1,1.055,38,146,25,32,280
24,3.14,9.43,39,4.43,22.2,1.605,93,383,57,17,356
25,4.75,1.2,21,1.16,29.1,1.319,56,77,45,7,76
26,3.67,3.28,108,1.46,24.2,1.175,49,207,23,8,461
27,3.32,3.65,95,2.8,33.6,0.533,65,9,54,45,497
28,4.88,3.64,38,4.08,27.2,0.913,91,228,17,5,211
29,6.72,5.33,113,3.31,32.1,0.844,64,361,26,26,101
30,8.54,6.69,69,4.5,36.9,0.711,97,302,78,46,334
31,7.61,7.52,74,0.51,35.1,1.31,94,437,7,41,475
32,5.54,9.15,29,1.09,38.1,1.387,1,60,39,16,336
33,6.01,2.44,68,1.15,22.4,0.546,40,423,40,27,440
34,3.71,1.99,89,4.04,24.4,1.326,63,483,40,20,173
35,3.08,4.01,94,1.62,20.3,1.453,84,146,31,28,2
36,7.19,9.82,40,3.56,32.8,1.314,25,30,45,6,333
37,4.32,6.7,17,1.21,35.9,1.29,96,392,26,21,409
38,7.79,5.89,92,3.86,24.8,1.525,75,155,18,34,70
39,4.13,8.83,83,4.4,26.1,0.668,12,356,83,36,209
40,5.63,3.27,14,3.5,24.1,1.092,23,485,100,24,63
41,8.48,8.24,104,1.89,38.4,0.848,4,29,19,8,384
42,7.52,9.72,43,4.84,26.6,1.171,4,341,11,9,93
43,8.63,3.61,118,0.88,31.6,1.581,98,158,33,15,485
44,7.75,1.54,30,4.16,23.9,1.648,19,265,53,46,185
45,7.73,9.96,55,4.63,38.1,1.792,70,322,63,22,33
46,5.05,6.94,19,3.98,26.8,1.732,93,315,61,29,77
47,6.86,8.31,57,0.87,32.9,1.914,72,213,91,5,0
48,5.11,8.92,120,4.42,22.8,0.514,62,62,3,41,11
49,3.68,6.0,118,4.65,25.9,1.45,67,37,27,7,415
50,3.76,9.68,45,1.44,27.7,1.945,56,358,47,49,22
51,7.16,9.57,91,4.26,22.0,1.704,33,438,80,49,72
52,3.51,1.44,25,1.04,23.2,0.895,14,306,19,14,182
53,7.62,5.91,90,0.97,21.2,1.873,99,375,88,36,131
54,7.01,7.31,91,4.9,39.2,1.243,32,483,18,48,410
55,7.22,5.2,119,2.97,29.8,1.084,81,275,48,40,193
