pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,pH_dev,pH_abs_dev,pH_dev_sq,pH_gaussian,pH_optimal,ion_strength,ion_pH_interaction,ion_ratio,high_perf_flag,optimal_pH_score,C0_Dose_ratio,adsorbent_excess,equilibrium_indicator,fouling_impact,flow_time_product,log_C0,log_Dose,log_Time,log_ion_strength,log_NOM,pH_Time_interaction,pH_Dose_interaction,Temp_Time_interaction,C0_Flow_interaction,pH_Temp_interaction,performance_index,stress_indicator,optimal_conditions,residual
8.5,4.41,27,1.36,39.2,0.993,71,156,85,5,2.0,2.0,4.0,0.00033546262790251185,0.2,312,624.0,0.4585987261146497,0.0,0.33333333333333337,3.08904109589041,-1.5919404269617794,0.2231404958677686,3.424657534246575,26.811,1.506297153514587,0.3784364357202452,3.299533727885655,5.746203190540153,1.791759469228055,0.54,0.272,1.30622416798868,4.37913,1.8400000000000005,-0.00011916517368187455,2.56,0.0,-0.4315333795690028
8.57,7.6,87,2.37,24.0,0.705,94,450,46,26,2.0700000000000003,2.0700000000000003,4.284900000000001,0.00018975059613633542,0.18921833904141985,590,1221.3000000000002,0.2106430155210643,0.0,0.30999999999999994,3.1174089068825905,-1.2035647346286658,0.71900826446281,10.526315789473683,61.334999999999994,2.0412203288596382,0.9042181506398859,4.467056883858457,6.3818160174060985,3.295836866004329,1.8009000000000004,0.4905900000000001,1.0745608354747695,5.358,-1.2420000000000002,-0.00016420504092519003,3.9850000000000003,0.0,-0.7544282470389025
6.86,3.32,60,4.29,37.6,1.276,88,151,42,43,0.3600000000000003,0.3600000000000003,0.12960000000000024,0.7716686738745258,0.8852691218130311,281,101.1600000000001,0.5855263157894737,1.0,0.8799999999999999,0.7790432801822323,-0.46526638880730115,0.49586776859504134,9.794988610478361,76.56,1.2296405510745139,1.47932922708708,4.096009841541162,5.641907070938114,3.784189633918261,0.2160000000000002,0.15444000000000013,1.545688572929165,4.23632,0.2736000000000003,-0.1780321473963568,1.5850000000000002,0.7716686738745258,1.0950255105162725
6.34,1.74,13,2.31,24.9,0.505,5,167,69,15,-0.16000000000000014,0.16000000000000014,0.025600000000000046,0.9500886338026268,0.9750390015600623,241,38.56000000000003,0.03571428571428571,1.0,0.9466666666666667,0.7634854771784232,-1.2266365579355833,0.10743801652892562,6.224066390041493,6.565,0.6097655716208943,0.8796267475025636,2.5726122302071057,5.488937726156687,2.772588722239781,-0.02080000000000002,-0.036960000000000034,0.6571252750741994,0.8787,0.08160000000000009,-0.12520970966543699,1.2850000000000001,0.9500886338026268,0.3427258869528162
5.09,1.06,60,3.09,26.8,1.436,73,454,83,22,-1.4100000000000001,1.4100000000000001,1.9881000000000004,0.018756779848581023,0.33466082125765534,610,860.1000000000001,0.16263736263736264,0.0,0.53,0.3636363636363637,-0.9267028549456541,0.49586776859504134,6.8965517241379315,86.16,0.1484200051182734,1.1600209167967532,4.096009841541162,6.415096959171596,3.1354942159291497,-0.8460000000000001,-0.43569,1.1017141955984475,1.52216,0.45119999999999993,-0.008619154430710981,3.755,0.0,-0.1290179707373235
5.91,4.58,110,0.55,26.0,1.168,41,401,97,31,-0.5899999999999999,0.5899999999999999,0.34809999999999985,0.49847591783746614,0.7417847340701729,539,318.00999999999993,0.1044776119402985,0.0,0.8033333333333333,7.199999999999999,-1.9034100416051678,0.9090909090909091,47.69230769230769,128.48,1.5432981099295553,-0.4307829160924542,4.701389043728634,6.29156913955832,3.4657359027997265,-0.6489999999999998,-0.03244999999999999,1.2244778523412068,5.3494399999999995,0.23599999999999993,-0.8625491522819869,2.9899999999999998,0.0,-0.1514933000284601
7.81,7.14,104,2.55,28.6,1.881,23,98,9,38,1.3099999999999996,1.3099999999999996,1.716099999999999,0.032315767822158954,0.3681749567394427,130,170.29999999999995,0.24242424242424243,0.0,0.5633333333333335,2.732075471698113,-1.134349264707913,0.859504132231405,14.339622641509434,195.624,1.9796212063976248,0.9745596399981308,4.645351975620923,4.875197323201151,3.6635616461296463,1.3623999999999996,0.33404999999999985,1.3310326601450517,13.43034,-0.18339999999999976,-0.031507158815073676,1.3049999999999997,0.0,0.2007183648925945
7.48,7.77,79,1.7,27.6,1.564,87,90,61,7,0.9800000000000004,0.9800000000000004,0.9604000000000008,0.14648972346236555,0.5100999795960006,238,233.2400000000001,0.967032967032967,0.0,0.6733333333333331,4.372222222222222,-1.461200094889246,0.6528925619834711,3.888888888888889,123.55600000000001,2.063058062429312,0.5877866649021191,4.370712874773608,5.476463551931511,2.0794415416798357,0.7742000000000003,0.16660000000000005,1.2094393511699912,12.15228,-0.23519999999999994,-0.13975217378559612,1.6800000000000002,0.0,-0.9530418455551226
3.16,6.17,51,2.69,27.8,0.602,2,304,54,11,-3.34,3.34,11.1556,2.0434732424191526e-10,0.08226660962848399,360,1202.3999999999999,0.009836065573770493,0.0,-0.11333333333333329,2.247311827956989,-1.080515010325105,0.4214876033057851,3.942652329749104,30.701999999999998,1.8357763546448294,1.0260415958332743,3.933784497209659,5.8888779583328805,2.4849066497880004,-1.7034,-0.8984599999999998,1.098445753765637,3.71434,0.7347999999999997,-9.30646108208363e-11,3.4699999999999998,0.0,0.5605575917052006
8.64,7.37,17,4.48,31.4,0.526,39,398,44,45,2.1400000000000006,2.1400000000000006,4.579600000000003,0.00010524706202954343,0.17922431715535156,481,1029.3400000000004,0.10025062656641603,0.0,0.2866666666666665,1.631004366812227,-0.39220561500206175,0.14049586776859505,9.825327510917031,8.942,2.010894999144726,1.5216989981260935,2.8390784635086144,6.1779441140506,3.828641396489095,0.3638000000000001,0.9587200000000002,0.9075767319793957,3.8766200000000004,0.29959999999999976,-5.799457088741924e-06,3.475,0.0,-0.6582863489689021
4.81,6.4,32,1.93,22.2,1.535,2,335,72,27,-1.6900000000000004,1.6900000000000004,2.8561000000000014,0.003305392676093005,0.2593293742382199,409,691.2100000000002,0.008928571428571428,0.0,0.43666666666666654,3.201970443349754,-1.372758105546062,0.2644628099173554,13.30049261083744,49.12,1.8718021769015913,0.7080357930536959,3.4688560301359703,6.016157159698354,3.332204510175204,-0.5408000000000002,-0.32617000000000007,0.7762246786455586,9.824,1.3182000000000005,-0.0012000012133869121,2.89,0.0,-0.9427558534697696
4.49,3.83,45,1.39,24.3,1.336,14,45,30,44,-2.01,2.01,4.040099999999999,0.000309609107404551,0.1984087617309181,89,178.89,0.32608695652173914,0.0,0.33000000000000007,2.63758389261745,-1.5804045153083208,0.371900826446281,29.53020134228188,60.120000000000005,1.3686394258811698,0.3987761199573678,3.8088822465086327,4.499809670330265,3.8066624897703196,-0.9044999999999999,-0.2793899999999999,0.9303598593468502,5.11688,1.1456999999999997,-0.0001819739124753959,1.45,0.0,-0.4772775974921157
7.84,4.49,67,3.62,23.6,1.309,20,354,12,25,1.3399999999999999,1.3399999999999999,1.7955999999999996,0.027565232289593376,0.3577049649449135,386,517.2399999999999,0.059154929577464786,0.0,0.5533333333333335,1.2338709677419353,-0.7229017490678815,0.5537190082644629,6.720430107526881,87.703,1.5238800240724537,1.3137236682850553,4.206184043977636,5.958424693029782,3.258096538021482,0.8977999999999998,0.48507999999999996,0.9958038184215613,5.87741,-0.8575999999999997,-0.011033933558560631,2.5999999999999996,0.0,0.1485730991278115
3.67,3.28,108,1.46,24.2,1.175,49,207,23,8,-2.83,2.83,8.0089,1.1054977112226558e-07,0.1110013431162517,279,789.57,0.2403846153846154,0.0,0.05666666666666664,2.1666666666666665,-1.553487388116917,0.8925619834710744,5.128205128205128,126.9,1.2178757094949273,0.44468582126144574,4.683056724645162,5.634789603169249,2.1972245773362196,-3.0564,-0.41318,1.1353061874994526,3.854,1.6414000000000002,-1.532865200111268e-07,2.81,0.0,-0.2494426058201577
